frame_index,timestamp_ms
1239,21297.7
1240,21317.3
1241,21335.4
1242,21347
1243,21364.6
1244,21382.7
1245,21398.1
1246,21414.8
1247,21433
1248,21447.5
1249,21465.5
1250,21481.6
1251,21498.9
1252,21515
1253,21531.4
1254,21548.2
1255,21564.7
1256,21580.9
1257,21598.5
1258,21613.3
1259,21630.7
1260,21650.8
1261,21665.6
1262,21681.7
1263,21699.5
1264,21713.8
1265,21732
1266,21746.6
1267,21764.2
1268,21780.6
1269,21798.6
1270,21813.4
1271,21831.3
1272,21850
1273,21866
1274,21884.8
1275,21900.7
1276,21912.9
1277,21931.2
1278,21947.7
1279,21964.5
1280,21979.7
1281,21997.7
1282,22013.9
1283,22031.1
1284,22047.3
1285,22067
1286,22080.1
1287,22097.5
1288,22115.8
1289,22130
1290,22148.1
1291,22164.3
1292,22181.2
1293,22199.3
1294,22214.2
1295,22232.3
1296,22246.7
1297,22265.2
1298,22280.8
1299,22297.5
1300,22314.5
1301,22329.9
1302,22347.1
1303,22363.3
1304,22380.7
1305,22396.3
1306,22413.2
1307,22430.6
1308,22448.6
1309,22466
1310,22480.8
1311,22497.6
1312,22513.6
1313,22529.6
1314,22547.4
1315,22564.6
1316,22579.6
1317,22597.5
1318,22613.4
1319,22630.6
1320,22647
1321,22665.7
1322,22679.1
1323,22700.5
1324,22713.9
1325,22732.2
1326,22745.6
1327,22764.6
1328,22782.4
1329,22795.3
1330,22812.8
1331,22829.6
1332,22847
1333,22864.3
1334,22880.2
1335,22895.6
1336,22914.8
1337,22929.6
1338,22948
1339,22962.5
1340,22980.5
1341,22997.7
1342,23012.3
1343,23030.5
1344,23046.1
1345,23069.9
1346,23078.7
1347,23095.3
1348,23113.5
1349,23131.4
1350,23145.7
1351,23161.9
1352,23179
1353,23196.9
1354,23214.3
1355,23229.4
1356,23248
1357,23266.5
1358,23281.7
1359,23295.5
1360,23313.6
1361,23330.1
1362,23345
1363,23362.6
1364,23379.8
1365,23396.4
